date,open,high,low,close,volume
2024-11-21 05:00:00,62.04,63.4,60.895,61.36,56336740.0
2024-11-22 05:00:00,61.6,64.44,61.37,64.35,61381713.0
2024-11-25 05:00:00,66.9,67.88,64.08,64.65,80640465.0
2024-11-26 05:00:00,64.57,65.85,63.89,65.74,46923572.0
2024-11-27 05:00:00,66.24,67.56,64.24,66.05,53839900.0
2024-11-29 05:00:00,65.89,67.16,65.47,67.08,30104046.0
2024-12-02 05:00:00,67.44,67.88,65.96,66.39,46404971.0
2024-12-03 05:00:00,66.41,71.37,66.15,70.96,100751420.0
2024-12-04 05:00:00,71.13,71.18,67.28,69.85,86284801.0
2024-12-05 05:00:00,70.11,72.98,69.89,71.87,66585762.0
2024-12-06 05:00:00,72.95,76.82,72.28,76.34,93640902.0
2024-12-09 05:00:00,80.58,80.91,71.05,72.46,168134824.0
2024-12-10 05:00:00,71.99,75.56,70.73,70.89,89672470.0
2024-12-11 05:00:00,72.98,73.0,68.07,72.51,89477656.0
2024-12-12 05:00:00,72.3,75.38,71.9,73.2,73859672.0
2024-12-13 05:00:00,73.49,76.1,72.45,76.07,76172785.0
2024-12-16 05:00:00,75.06,77.82,71.16,75.75,126099615.0
2024-12-17 05:00:00,73.28,75.32,71.7,74.39,75469386.0
2024-12-18 05:00:00,74.3,77.6,70.27,71.51,109643381.0
2024-12-19 05:00:00,73.99,76.59,73.37,74.21,99524332.0
2024-12-20 05:00:00,72.64,80.66,71.5,80.55,281230836.0
2024-12-23 05:00:00,80.65,82.02,77.41,80.69,93819484.0
2024-12-24 05:00:00,81.09,84.7968,81.0,82.38,64983263.0
2024-12-26 05:00:00,83.16,83.49,81.3,82.14,60547746.0
2024-12-27 05:00:00,81.42,82.0,77.93,79.08,66975887.0
2024-12-30 05:00:00,77.04,79.24,76.11,77.18,60850862.0
2024-12-31 05:00:00,77.58,77.9796,73.65,75.63,56267937.0
